@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute pose-1 numeric
@attribute pose-2 numeric
@attribute pose-3 numeric
@attribute pose-4 numeric
@attribute pose-5 numeric
@attribute pose-6 numeric
@attribute pose-7 numeric
@attribute pose-8 numeric
@attribute pose-9 numeric
@attribute pose-10 numeric
@attribute pose-11 numeric
@attribute pose-12 numeric
@attribute pose-13 numeric
@attribute pose-14 numeric
@attribute pose-15 numeric
@attribute pose-16 numeric
@attribute pose-17 numeric
@attribute pose-18 numeric
@attribute pose-19 numeric
@attribute pose-20 numeric
@attribute pose-21 numeric
@attribute pose-22 numeric
@attribute pose-23 numeric
@attribute pose-24 numeric
@attribute pose-25 numeric
@attribute pose-26 numeric
@attribute pose-27 numeric
@attribute pose-28 numeric
@attribute pose-29 numeric
@attribute pose-30 numeric
@attribute pose-31 numeric
@attribute pose-32 numeric
@attribute pose-33 numeric
@attribute pose-34 numeric
@attribute pose-35 numeric
@attribute pose-36 numeric
@attribute pose-37 numeric
@attribute pose-38 numeric
@attribute pose-39 numeric
@attribute pose-40 numeric
@attribute pose-41 numeric
@attribute pose-42 numeric
@attribute pose-43 numeric
@attribute pose-44 numeric
@attribute pose-45 numeric
@attribute pose-46 numeric
@attribute pose-47 numeric
@attribute pose-48 numeric
@attribute pose-49 numeric
@attribute pose-50 numeric
@attribute pose-51 numeric
@attribute pose-52 numeric
@attribute pose-53 numeric
@attribute pose-54 numeric
@attribute pose-55 numeric
@attribute pose-56 numeric
@attribute pose-57 numeric
@attribute pose-58 numeric
@attribute pose-59 numeric
@attribute pose-60 numeric
@attribute pose-61 numeric
@attribute pose-62 numeric
@attribute pose-63 numeric
@attribute pose-64 numeric
@attribute pose-65 numeric
@attribute pose-66 numeric
@attribute pose-67 numeric
@attribute pose-68 numeric
@attribute pose-69 numeric
@attribute pose-70 numeric
@attribute pose-71 numeric
@attribute pose-72 numeric
@attribute pose-73 numeric
@attribute pose-74 numeric
@attribute pose-75 numeric
@attribute pose-76 numeric
@attribute pose-77 numeric
@attribute pose-78 numeric
@attribute pose-79 numeric
@attribute pose-80 numeric
@attribute pose-81 numeric
@attribute pose-82 numeric
@attribute pose-83 numeric
@attribute pose-84 numeric
@attribute pose-85 numeric
@attribute pose-86 numeric
@attribute pose-87 numeric
@attribute pose-88 numeric
@attribute pose-89 numeric
@attribute pose-90 numeric
@attribute pose-91 numeric
@attribute pose-92 numeric
@attribute pose-93 numeric
@attribute pose-94 numeric
@attribute pose-95 numeric
@attribute pose-96 numeric
@attribute pose-97 numeric
@attribute pose-98 numeric
@attribute pose-99 numeric
@attribute pose-100 numeric
@attribute pose-101 numeric
@attribute pose-102 numeric
@attribute pose-103 numeric
@attribute pose-104 numeric
@attribute pose-105 numeric
@attribute pose-106 numeric
@attribute pose-107 numeric
@attribute pose-108 numeric
@attribute pose-109 numeric
@attribute pose-110 numeric
@attribute pose-111 numeric
@attribute pose-112 numeric
@attribute pose-113 numeric
@attribute pose-114 numeric
@attribute pose-115 numeric
@attribute pose-116 numeric
@attribute pose-117 numeric
@attribute pose-118 numeric
@attribute pose-119 numeric
@attribute pose-120 numeric
@attribute pose-121 numeric
@attribute pose-122 numeric
@attribute pose-123 numeric
@attribute pose-124 numeric
@attribute pose-125 numeric
@attribute pose-126 numeric
@attribute pose-127 numeric
@attribute pose-128 numeric
@attribute pose-129 numeric
@attribute pose-130 numeric
@attribute pose-131 numeric
@attribute pose-132 numeric
@attribute class-1 numeric
@attribute class-2 numeric
@attribute class-3 numeric
@attribute class-4 numeric
@attribute class-5 numeric
@attribute class-6 numeric

@data
1,'2025/02/21 22:39:08:551',1,0.500407,0.52515,0.542518,0.559577,0.475468,0.461775,0.446845,0.571158,0.425024,0.529292,0.468546,0.674227,0.324987,0.704318,0.315258,0.692434,0.310888,0.711197,0.295885,0.681734,0.299581,0.667095,0.312142,0.608755,0.393362,0.596131,0.391279,0.584684,0.382535,0.606741,0.38409,0.490933,0.379858,0.148685,0.080368,0.083732,0.085456,0.068393,0.066989,0.067529,0.113364,0.104733,0.217672,0.21283,0.529267,0.549168,0.990816,0.967704,1.474983,1.368237,1.611804,1.473369,1.609254,1.478628,1.556206,1.433053,1.455925,1.434084,2.259174,2.195967,2.916719,2.889117,3.019037,3.004246,3.080516,3.059382,-0.892702,-0.845156,-0.846365,-0.846261,-0.832299,-0.833982,-0.83452,-0.510225,-0.443982,-0.749695,-0.738708,-0.365466,-0.106096,-0.393902,0.023657,-0.711507,-0.114631,-0.814089,-0.159523,-0.877447,-0.258513,-0.741526,-0.158426,-0.085094,0.084385,-0.348525,-0.159384,-0.246731,0.312437,-0.259072,0.346196,-0.715069,0.008986,0.993491,0.986512,0.986214,0.989187,0.99086,0.99232,0.993692,0.992318,0.987343,0.98895,0.988362,0.995633,0.983793,0.17617,0.033508,0.010896,0.003059,0.015303,0.004536,0.021432,0.006601,0.019349,0.007028,0.044096,0.041195,0.001152,0.001017,0.000765,0.000669,0.001143,0.000929,0.000924,0.000674,1,0,0,0,0,0
2,'2025/02/21 22:39:08:569',1,0.500407,0.52515,0.542518,0.559577,0.475468,0.461775,0.446845,0.571158,0.425024,0.529292,0.468546,0.674227,0.324987,0.704318,0.315258,0.692434,0.310888,0.711197,0.295885,0.681734,0.299581,0.667095,0.312142,0.608755,0.393362,0.596131,0.391279,0.584684,0.382535,0.606741,0.38409,0.490933,0.379858,0.148685,0.080368,0.083732,0.085456,0.068393,0.066989,0.067529,0.113364,0.104733,0.217672,0.21283,0.529267,0.549168,0.990816,0.967704,1.474983,1.368237,1.611804,1.473369,1.609254,1.478628,1.556206,1.433053,1.455925,1.434084,2.259174,2.195967,2.916719,2.889117,3.019037,3.004246,3.080516,3.059382,-0.892702,-0.845156,-0.846365,-0.846261,-0.832299,-0.833982,-0.83452,-0.510225,-0.443982,-0.749695,-0.738708,-0.365466,-0.106096,-0.393902,0.023657,-0.711507,-0.114631,-0.814089,-0.159523,-0.877447,-0.258513,-0.741526,-0.158426,-0.085094,0.084385,-0.348525,-0.159384,-0.246731,0.312437,-0.259072,0.346196,-0.715069,0.008986,0.993491,0.986512,0.986214,0.989187,0.99086,0.99232,0.993692,0.992318,0.987343,0.98895,0.988362,0.995633,0.983793,0.17617,0.033508,0.010896,0.003059,0.015303,0.004536,0.021432,0.006601,0.019349,0.007028,0.044096,0.041195,0.001152,0.001017,0.000765,0.000669,0.001143,0.000929,0.000924,0.000674,1,0,0,0,0,0
3,'2025/02/21 22:39:08:582',1,0.500407,0.52515,0.542518,0.559577,0.475468,0.461775,0.446845,0.571158,0.425024,0.529292,0.468546,0.674227,0.324987,0.704318,0.315258,0.692434,0.310888,0.711197,0.295885,0.681734,0.299581,0.667095,0.312142,0.608755,0.393362,0.596131,0.391279,0.584684,0.382535,0.606741,0.38409,0.490933,0.379858,0.148685,0.080368,0.083732,0.085456,0.068393,0.066989,0.067529,0.113364,0.104733,0.217672,0.21283,0.529267,0.549168,0.990816,0.967704,1.474983,1.368237,1.611804,1.473369,1.609254,1.478628,1.556206,1.433053,1.455925,1.434084,2.259174,2.195967,2.916719,2.889117,3.019037,3.004246,3.080516,3.059382,-0.892702,-0.845156,-0.846365,-0.846261,-0.832299,-0.833982,-0.83452,-0.510225,-0.443982,-0.749695,-0.738708,-0.365466,-0.106096,-0.393902,0.023657,-0.711507,-0.114631,-0.814089,-0.159523,-0.877447,-0.258513,-0.741526,-0.158426,-0.085094,0.084385,-0.348525,-0.159384,-0.246731,0.312437,-0.259072,0.346196,-0.715069,0.008986,0.993491,0.986512,0.986214,0.989187,0.99086,0.99232,0.993692,0.992318,0.987343,0.98895,0.988362,0.995633,0.983793,0.17617,0.033508,0.010896,0.003059,0.015303,0.004536,0.021432,0.006601,0.019349,0.007028,0.044096,0.041195,0.001152,0.001017,0.000765,0.000669,0.001143,0.000929,0.000924,0.000674,1,0,0,0,0,0
4,'2025/02/21 22:39:08:600',1,0.499156,0.524637,0.541803,0.559117,0.474974,0.461378,0.446802,0.571147,0.425007,0.528804,0.467175,0.674589,0.325056,0.704492,0.315592,0.692605,0.311144,0.711444,0.295959,0.681849,0.299711,0.66763,0.312265,0.606354,0.392594,0.597391,0.390851,0.585817,0.38061,0.607082,0.381569,0.500779,0.379084,0.148498,0.080264,0.083526,0.085191,0.068489,0.067153,0.067563,0.113355,0.104713,0.217383,0.212674,0.529737,0.548997,0.990554,0.966917,1.478521,1.377111,1.612453,1.484565,1.610992,1.493045,1.556915,1.446941,1.457493,1.43663,2.262209,2.205116,2.922726,2.899772,3.024931,3.01246,3.090722,3.072279,-0.748611,-0.704305,-0.704938,-0.704956,-0.693493,-0.694758,-0.695292,-0.410862,-0.355187,-0.623881,-0.615506,-0.308064,-0.087261,-0.343785,0.022717,-0.648155,-0.11548,-0.739541,-0.160617,-0.799191,-0.260212,-0.675441,-0.159807,-0.083231,0.082389,-0.246642,-0.193128,0.026101,0.264499,0.033731,0.300455,-0.352747,-0.020945,0.99381,0.987229,0.986934,0.989774,0.991341,0.992716,0.994031,0.992738,0.987994,0.989615,0.989059,0.995912,0.984856,0.17743,0.033254,0.010892,0.003063,0.015413,0.004581,0.021613,0.006678,0.019523,0.00711,0.043872,0.041069,0.001122,0.001007,0.000751,0.000668,0.001129,0.000921,0.000904,0.000674,1,0,0,0,0,0
5,'2025/02/21 22:39:08:615',1,0.499156,0.524637,0.541803,0.559117,0.474974,0.461378,0.446802,0.571147,0.425007,0.528804,0.467175,0.674589,0.325056,0.704492,0.315592,0.692605,0.311144,0.711444,0.295959,0.681849,0.299711,0.66763,0.312265,0.606354,0.392594,0.597391,0.390851,0.585817,0.38061,0.607082,0.381569,0.500779,0.379084,0.148498,0.080264,0.083526,0.085191,0.068489,0.067153,0.067563,0.113355,0.104713,0.217383,0.212674,0.529737,0.548997,0.990554,0.966917,1.478521,1.377111,1.612453,1.484565,1.610992,1.493045,1.556915,1.446941,1.457493,1.43663,2.262209,2.205116,2.922726,2.899772,3.024931,3.01246,3.090722,3.072279,-0.748611,-0.704305,-0.704938,-0.704956,-0.693493,-0.694758,-0.695292,-0.410862,-0.355187,-0.623881,-0.615506,-0.308064,-0.087261,-0.343785,0.022717,-0.648155,-0.11548,-0.739541,-0.160617,-0.799191,-0.260212,-0.675441,-0.159807,-0.083231,0.082389,-0.246642,-0.193128,0.026101,0.264499,0.033731,0.300455,-0.352747,-0.020945,0.99381,0.987229,0.986934,0.989774,0.991341,0.992716,0.994031,0.992738,0.987994,0.989615,0.989059,0.995912,0.984856,0.17743,0.033254,0.010892,0.003063,0.015413,0.004581,0.021613,0.006678,0.019523,0.00711,0.043872,0.041069,0.001122,0.001007,0.000751,0.000668,0.001129,0.000921,0.000904,0.000674,1,0,0,0,0,0
6,'2025/02/21 22:39:08:633',1,0.498756,0.524241,0.541781,0.559103,0.474668,0.461047,0.446367,0.571155,0.424995,0.52806,0.466795,0.674727,0.324879,0.704505,0.314492,0.693012,0.308305,0.71206,0.292746,0.682914,0.296287,0.668361,0.309301,0.60636,0.392945,0.596816,0.391388,0.585858,0.38261,0.607245,0.384106,0.499676,0.381752,0.148307,0.080003,0.083381,0.085104,0.068107,0.066897,0.067476,0.113298,0.104719,0.217389,0.212705,0.530204,0.54901,0.990712,0.968586,1.478181,1.375418,1.611391,1.482021,1.61046,1.489968,1.556811,1.444979,1.458224,1.437015,2.262425,2.204035,2.923504,2.899597,3.025417,3.012349,3.091551,3.072033,-0.761785,-0.716791,-0.717216,-0.717346,-0.701298,-0.702561,-0.702915,-0.41596,-0.358281,-0.634791,-0.621101,-0.30509,-0.085257,-0.346179,0.023536,-0.649458,-0.116683,-0.740828,-0.163853,-0.801511,-0.262765,-0.67593,-0.161125,-0.08018,0.079362,-0.269324,-0.205637,-0.056079,0.226722,-0.057756,0.25322,-0.495048,-0.104096,0.9936,0.986762,0.986469,0.989384,0.991029,0.992462,0.993809,0.992504,0.987573,0.989214,0.988652,0.99577,0.984462,0.179139,0.033654,0.011018,0.003104,0.015582,0.004625,0.021821,0.006728,0.019675,0.007168,0.046154,0.043345,0.001143,0.001029,0.000763,0.000681,0.001134,0.000939,0.00091,0.000685,1,0,0,0,0,0
7,'2025/02/21 22:39:08:649',1,0.498756,0.524241,0.541781,0.559103,0.474668,0.461047,0.446367,0.571155,0.424995,0.52806,0.466795,0.674727,0.324879,0.704505,0.314492,0.693012,0.308305,0.71206,0.292746,0.682914,0.296287,0.668361,0.309301,0.60636,0.392945,0.596816,0.391388,0.585858,0.38261,0.607245,0.384106,0.499676,0.381752,0.148307,0.080003,0.083381,0.085104,0.068107,0.066897,0.067476,0.113298,0.104719,0.217389,0.212705,0.530204,0.54901,0.990712,0.968586,1.478181,1.375418,1.611391,1.482021,1.61046,1.489968,1.556811,1.444979,1.458224,1.437015,2.262425,2.204035,2.923504,2.899597,3.025417,3.012349,3.091551,3.072033,-0.761785,-0.716791,-0.717216,-0.717346,-0.701298,-0.702561,-0.702915,-0.41596,-0.358281,-0.634791,-0.621101,-0.30509,-0.085257,-0.346179,0.023536,-0.649458,-0.116683,-0.740828,-0.163853,-0.801511,-0.262765,-0.67593,-0.161125,-0.08018,0.079362,-0.269324,-0.205637,-0.056079,0.226722,-0.057756,0.25322,-0.495048,-0.104096,0.9936,0.986762,0.986469,0.989384,0.991029,0.992462,0.993809,0.992504,0.987573,0.989214,0.988652,0.99577,0.984462,0.179139,0.033654,0.011018,0.003104,0.015582,0.004625,0.021821,0.006728,0.019675,0.007168,0.046154,0.043345,0.001143,0.001029,0.000763,0.000681,0.001134,0.000939,0.00091,0.000685,1,0,0,0,0,0
8,'2025/02/21 22:39:08:666',1,0.498951,0.524311,0.541902,0.55912,0.474641,0.460932,0.445911,0.570956,0.424399,0.528087,0.466791,0.675134,0.324877,0.704522,0.316614,0.692241,0.312799,0.71034,0.298506,0.680072,0.303468,0.666453,0.315549,0.609744,0.395813,0.600053,0.398493,0.592725,0.389636,0.613495,0.389471,0.504409,0.401184,0.148919,0.080173,0.083557,0.085224,0.068169,0.066971,0.06769,0.113281,0.104929,0.217862,0.212983,0.53033,0.549601,0.990741,0.968583,1.47957,1.379627,1.614046,1.487009,1.612008,1.493254,1.557512,1.446879,1.460116,1.439852,2.270688,2.205719,2.926065,2.901706,3.026154,3.013949,3.099298,3.076928,-0.736982,-0.687353,-0.687894,-0.687931,-0.682968,-0.683685,-0.684698,-0.37183,-0.349444,-0.60554,-0.605189,-0.231681,-0.10601,-0.281864,-0.052189,-0.627805,-0.208367,-0.719091,-0.266965,-0.782785,-0.352116,-0.657091,-0.247335,-0.040145,0.039341,-0.197643,-0.286675,0.075472,0.134599,0.081377,0.164063,-0.322223,-0.177416,0.993231,0.985866,0.985563,0.988654,0.990453,0.992024,0.993464,0.991996,0.98695,0.988831,0.988325,0.9958,0.984724,0.174209,0.033469,0.010639,0.003022,0.015207,0.004523,0.021292,0.006573,0.019209,0.007001,0.045363,0.04275,0.001106,0.001037,0.000734,0.000677,0.001093,0.000921,0.000868,0.000671,1,0,0,0,0,0
9,'2025/02/21 22:39:08:682',1,0.498951,0.524311,0.541902,0.55912,0.474641,0.460932,0.445911,0.570956,0.424399,0.528087,0.466791,0.675134,0.324877,0.704522,0.316614,0.692241,0.312799,0.71034,0.298506,0.680072,0.303468,0.666453,0.315549,0.609744,0.395813,0.600053,0.398493,0.592725,0.389636,0.613495,0.389471,0.504409,0.401184,0.148919,0.080173,0.083557,0.085224,0.068169,0.066971,0.06769,0.113281,0.104929,0.217862,0.212983,0.53033,0.549601,0.990741,0.968583,1.47957,1.379627,1.614046,1.487009,1.612008,1.493254,1.557512,1.446879,1.460116,1.439852,2.270688,2.205719,2.926065,2.901706,3.026154,3.013949,3.099298,3.076928,-0.736982,-0.687353,-0.687894,-0.687931,-0.682968,-0.683685,-0.684698,-0.37183,-0.349444,-0.60554,-0.605189,-0.231681,-0.10601,-0.281864,-0.052189,-0.627805,-0.208367,-0.719091,-0.266965,-0.782785,-0.352116,-0.657091,-0.247335,-0.040145,0.039341,-0.197643,-0.286675,0.075472,0.134599,0.081377,0.164063,-0.322223,-0.177416,0.993231,0.985866,0.985563,0.988654,0.990453,0.992024,0.993464,0.991996,0.98695,0.988831,0.988325,0.9958,0.984724,0.174209,0.033469,0.010639,0.003022,0.015207,0.004523,0.021292,0.006573,0.019209,0.007001,0.045363,0.04275,0.001106,0.001037,0.000734,0.000677,0.001093,0.000921,0.000868,0.000671,1,0,0,0,0,0
10,'2025/02/21 22:39:08:699',1,0.499022,0.524293,0.541889,0.559106,0.474664,0.46095,0.446009,0.570677,0.424325,0.528092,0.466882,0.675117,0.32418,0.705653,0.314985,0.695417,0.313163,0.713201,0.29887,0.683921,0.304361,0.670388,0.316554,0.609928,0.396004,0.600446,0.399725,0.594409,0.390365,0.61499,0.389685,0.508805,0.405531,0.148962,0.080408,0.083781,0.085344,0.0682,0.066974,0.067715,0.113277,0.104979,0.217863,0.212987,0.530236,0.549633,0.989753,0.968851,1.473199,1.380811,1.605834,1.489148,1.604816,1.495331,1.550739,1.448367,1.458739,1.439625,2.269494,2.202856,2.921205,2.899882,3.018133,3.010829,3.098511,3.076819,-0.695258,-0.64487,-0.645434,-0.645451,-0.646971,-0.648039,-0.648717,-0.333075,-0.336724,-0.565692,-0.573637,-0.182235,-0.125074,-0.193523,-0.103469,-0.4914,-0.257652,-0.56401,-0.316474,-0.631612,-0.396386,-0.521107,-0.294273,-0.013155,0.012321,-0.106251,-0.334804,0.177184,0.03257,0.185474,0.058086,-0.177958,-0.264549,0.993057,0.985359,0.984939,0.98818,0.99023,0.991862,0.993389,0.991568,0.986799,0.988636,0.988319,0.995839,0.985332,0.166562,0.033883,0.010062,0.00298,0.014498,0.004462,0.020313,0.00648,0.018391,0.00688,0.044695,0.042692,0.001053,0.001045,0.000694,0.00067,0.001038,0.000896,0.000814,0.000654,1,0,0,0,0,0
